TweetsID,TweetsText,User_Location,Date,Baseline_Terms,Prediction,Positive,Negative
1216910000000000000,were doing everything we can to get our students back in school safely and quickly post hurricanelaura amp hurricanedelta and are thankful to those whove helped already but we need somebody who can get us tents or something asap catholictwitter ,LOCATION,24/10/2020 03:29,"['get', 'need', 'get']",1,2,-1
191554292,dsnap approved for 5 louisiana parishes hit by hurricanedelta replacements for laura dsnap benefits also receive federal approval details at URL lagov delta hurricanelaura URL ,"Baton Rouge, LA",23/10/2020 23:01,['hit'],1,1,-1
1101081968, hurricanelaura 2020 devastation destruction fear tears gtgt homesdestroyed businessesgone familiesdisplaced needisgreatgtgtgtpleaseconsiderassistancegtgtthots prayers financial helpushelp URL URL URL URL ,"Owosso, MI",23/10/2020 22:40,"['destruction', 'prayer', 'financial']",1,1,-5
779661955,this is for people in the area who were affected by hurricanelaura andor hurricanedelta i can 100 vouch for klie URL ,"Yakani Tcetu, Gulf Coast",23/10/2020 21:43,"['people', 'area', 'affected']",1,1,-1
748139000000000000,after suffering catastrophic loss to infrastructure caused by hurricanelaura vesta quickly stepped in to deliver and install 24 different modular units to make up a temporary campus for st louis catholic high school in lake charles louisiana URL ,United States,23/10/2020 21:02,"['loss', 'make', 'high']",1,2,-4
69111734,when you give to our hurricanelaura and hurricanedelta fund you help bring hope to those affected by disaster this fund will be distributed for meeting immediate needs as well as cleaning and rebuilding homes as part of longterm recovery give at URL URL ,"Austin, TX",23/10/2020 20:01,"['give', 'fund', 'help', 'affected', 'disaster', 'fund', 'need', 'home', 'recovery', 'give']",1,3,-2
243926147,i survived hurricanelaura amp hurricanedelta in amp near the eye of the storm who knew it would take my 15yearold vehicle breaking down to completely shatter me living on disability is cruel when the government says transportation is a luxury not a necessity sad ,"Louisiana, USA",23/10/2020 19:35,"['storm', 'breaking', 'government']",1,1,-4
2675096922,lake charles musicians relief fund music musicians lakecharles hurricanedelta hurricanelaura relief cajun creole rootsmusic roots fundraising URL ,"Lafayette, La.",23/10/2020 18:48,"['relief', 'fund', 'relief']",1,2,-1
33008654,how it started vs how its going first day back at work in august vs first day back after hurricanelaura someone stole all my flairpens and ipad chargers URL ,"Louisiana, USA",23/10/2020 17:57,"['first', 'first', 'someone']",1,1,-2
583417231,finally unpacked my evacuation suitcases and so help me if another hurricane comes it can just take me ive developed hurricane evacuation fatigue im done for this season hurricanelaura hurricanedelta louisiana lakecharles , Louisiana,23/10/2020 17:40,"['help', 'another', 'hurricane', 'hurricane']",1,1,-3
100065604,when the city of dallas needed help operating emergency shelters for hurricanelaura evacuees our emergency reservists showed up on just hours notice URL peoplehelpingpeople ,San Antonio TX,23/10/2020 16:58,"['city', 'help', 'emergency', 'evacuee', 'emergency']",1,1,-2
2291846306,the energy industry is continuing to powerahead to help those affected by the hurricanes in swla recently user_mention amp user_mention donated 28k gallons of fuel to people in swla to aid in hurricanelaura recovery efforts learn more here URL ,LOCATION,23/10/2020 16:55,"['help', 'affected', 'hurricane', 'donated', 'people', 'recovery', 'effort']",1,1,-1
25609304,user_mention went through 2 hurricanes destroyed my town destroyed everything could use a little help kdawn1979 louisianastrong hurricanelaura ,"Sulphur,Louisiana Baby!",23/10/2020 16:27,"['hurricane', 'destroyed', 'town', 'destroyed', 'help']",1,2,-3
4567806612,someone made their own 12 foot skeleton twelvefootskeleton hurricanelaura halloweendecorations halloween URL ,LOCATION,23/10/2020 15:39,['someone'],1,1,-1
1136320000000000000,my first time back at school after hurricanelaura and hurricanedelta and my bucket of flair pens is gone i know this is nothing compared to what some are dealing with but why would you steal flair pens URL ,"Sulphur, LA",23/10/2020 15:27,"['first', 'time', 'dealing']",1,2,-3
906331000000000000, hurricanedelta was in the same southwestern part of the state where hurricanelaura hit a month ago it pushed a storm surge that reached 12 feet inland louisiana gic members get access to disaster imagery imagery is available gt URL gicgraysky URL ,LOCATION,23/10/2020 15:01,"['hit', 'storm', 'get', 'disaster']",1,2,-2
475292976,our experiences shape our beliefs driving through areas affected by hurricanelaura and hurricanedelta showed an america thats barely getting up before getting knocked down again im trying to find the balance between not caring at all and caring too URL ,"Austin, TX",23/10/2020 14:41,"['area', 'affected', 'find']",1,3,-3
2237866994,user_mention offering personal recovery navigators following hurricanelaura user_mention URL ,Louisiana (statewide),23/10/2020 14:26,"['recovery', 'following']",1,1,-1
1976033922,want to get involved want to volunteer and help victims impacted by hurricanelaura and hurricanedelta come join the thecajunarmy and get down and dirty and meet the homeowners and families struggling day in and day out URL URL ,"Madisonville, Louisiana",23/10/2020 07:41,"['want', 'get', 'involved', 'want', 'volunteer', 'help', 'victim', 'impacted', 'join', 'get', 'homeowner', 'family']",1,1,-3
1424392956,get things done at this home hurricanelaura roofers specialist vinton louisiana URL ,"Baton Rouge, LA",23/10/2020 02:35,"['get', 'home']",1,2,-1
1001540000000000000,one thing ive learned is that it only takes a day to completely demolish an entire house twice so far in my neighborhood ive driven past a house in the morning then that afternoon the house would be a pile of debris on the curb hurricanelaura ,LOCATION,23/10/2020 00:37,"['entire', 'house', 'house', 'morning', 'house']",1,2,-3
21274629,we got spared we thank god that someone recommended us to the red cross hurricanelaura evacuees melissa and curtis prepare to return home after waiting out the storm in a user_mention shelter in beaumont texas read URL URL ,"Tennessee, USA",23/10/2020 00:30,"['someone', 'cross', 'evacuee', 'prepare', 'return', 'home', 'waiting', 'storm']",1,2,-2
3034118949,smh texas seriously dont get that hurricanedelta and hurricanelaura debris mixed up wtf this is your govt dollars at work URL ,"Baton Rouge, LA",22/10/2020 22:26,['get'],1,1,-3
80390153,user_mention still 4412 in shelters in louisiana 4313 of those are hurricanelaura evacuees 99 people are sheltered because of hurricanedelta ,"Lake Charles, LA",22/10/2020 19:21,"['evacuee', 'people']",1,1,-1
38733041,live now user_mention is holding a media briefing to update the states response to hurricanedelta and hurricanelaura as well as to share the latest on covid19 URL lagov lanews ,"Shreveport, LA",22/10/2020 19:01,"['live', 'response']",1,1,-1
2883494123,this is the reality on the streets of lakecharles today going on 8 weeks since hurricanelaura hit followed by hurricanedelta 2 weeks ago lake charles has been devastated the people of this city are not getting the help to recover they deserve better URL ,"Tucson, AZ",22/10/2020 18:08,"['hit', 'people', 'city', 'help', 'recover']",1,1,-5
1277690000000000000,we know legal fees are the last thing you need in the wake of hurricanelaura get your insurance policy reviewed for free by one of our experienced hurricanedamage insurance lawyers fill the form out on our website and start rebuilding today URL URL ,LOCATION,22/10/2020 17:00,"['need', 'get', 'free']",1,2,-1
956901000000000000,after back to back hurricanes 6500 people are in shelters and user_mention reports some are being told to leave read more here URL insuranceclaim claims insuranceindustry insuranceclaims thursday thursdayafternoon hurricanelaura hurricanedelta ,"Altamonte Springs, FL",22/10/2020 17:00,"['hurricane', 'people', 'report', 'leave', 'claim']",1,2,-1
45251527,im a hurricane evacuee everything i own is in that bag yall should do better also placing the red cross on the floor with no working elevator buttons is not appreciated either hurricanelaura hurricanedelta ,"Lake Charles, LA",22/10/2020 16:31,"['hurricane', 'evacuee', 'cross']",1,1,-2
